Device Type, Ticks, Data0, Data1
5, 7409, 0, 90
5, 7410, 0, 90
5, 7411, 0, 90
5, 7412, 0, 90
5, 7413, 0, 90
5, 7414, 0, 90
5, 7415, 0, 90
5, 7416, 0, 90
5, 7417, 0, 90
5, 7418, 0, 90
5, 7419, 0, 90
5, 7420, 0, 90
5, 7421, 0, 90
5, 7422, 0, 90
5, 7423, 0, 90
5, 7424, 0, 90
5, 7425, 0, 90
5, 7426, 0, 90
5, 7427, 0, 90
5, 7428, 0, 90
5, 7429, 0, 90
5, 7430, 0, 90
5, 7431, 0, 90
5, 7432, 0, 90
5, 7433, 0, 90
5, 7434, 0, 90
5, 7435, 0, 90
5, 7436, 0, 90
5, 7437, 0, 90
5, 7438, 0, 90
5, 7439, 0, 90
5, 7440, 0, 90
5, 7441, 0, 90
5, 7442, 0, 90
5, 7443, 0, 90
5, 7444, 0, 90
5, 7445, 0, 90
5, 7446, 0, 90
5, 7447, 0, 90
5, 7448, 0, 90
5, 7449, 0, 90
5, 7450, 0, 90
5, 7451, 0, 90
5, 7452, 0, 90
5, 7453, 0, 90
5, 7454, 0, 90
5, 7455, 0, 90
5, 7456, 0, 90
5, 7457, 0, 90
5, 7458, 0, 90
5, 7459, 0, 90
5, 7460, 0, 90
5, 7461, 0, 90
5, 7462, 0, 90
5, 7463, 0, 90
2, 7697, 0, 2353
1, 7702, 78, 62
1, 7719, 76, 65
2, 7722, 0, 1661
1, 7749, 83, 65
2, 7750, 0, 2099
2, 7774, 0, 2161
1, 7780, 80, 65
2, 7799, 3, 2080
1, 7811, 85, 71
2, 7824, 0, 2597
1, 7842, 82, 69
2, 7849, 0, 2890
1, 7872, 84, 75
2, 7874, 0, 3762
1, 7903, 83, 72
2, 7903, 0, 0
2, 7928, 0, 0
1, 7934, 85, 76
2, 7953, 0, 2414
1, 7965, 90, 82
2, 7978, 38, 4181
1, 7995, 93, 93
2, 8003, 121, 3424
1, 8026, 91, 96
2, 8028, 122, 4023
1, 8057, 93, 96
2, 8057, 189, 0
2, 8082, 117, 3634
1, 8088, 95, 96
2, 8107, 124, 3906
1, 8118, 101, 93
2, 8132, 0, 3261
1, 8149, 107, 89
2, 8157, 0, 3017
1, 8180, 114, 97
2, 8182, 147, 2326
1, 8211, 117, 91
2, 8211, 0, 3040
2, 8236, 0, 2902
1, 8242, 119, 93
2, 8261, 8, 252
1, 8272, 119, 95
2, 8286, 48, 3797
1, 8303, 114, 93
2, 8311, 48, 0
1, 8334, 108, 98
2, 8336, 19, 2885
1, 8365, 100, 105
2, 8365, 17, 0
2, 8390, 0, 3894
1, 8396, 94, 103
2, 8415, 109, 3388
1, 8426, 89, 109
2, 8440, 47, 0
1, 8457, 92, 114
2, 8465, 0, 0
1, 8488, 87, 120
2, 8490, 0, 2839
1, 8519, 86, 113
2, 8519, 0, 2154
2, 8544, 7, 1650
1, 8549, 88, 105
2, 8569, 16, 2812
1, 8580, 85, 94
2, 8594, 0, 1661
1, 8611, 96, 81
2, 8619, 17, 4373
1, 8642, 97, 79
2, 8644, 45, 1520
0, 8665, 1227, 0
4, 8665, 7, 5
0, 8667, 1162, 0
4, 8667, 7, 8
1, 8672, 100, 81
2, 8673, 0, 4243
0, 8697, 1205, 0
4, 8697, 8, 5
2, 8697, 78, 543
1, 8702, 111, 78
2, 8722, 0, 4600
0, 8728, 1190, 0
4, 8728, 9, 0
1, 8733, 113, 77
2, 8747, 0, 742
0, 8759, 1219, 0
4, 8759, 9, 0
1, 8764, 120, 84
2, 8772, 0, 2906
0, 8790, 1113, 0
4, 8790, 7, 5
1, 8795, 121, 90
2, 8797, 0, 2141
0, 8821, 1136, 0
4, 8821, 7, 8
1, 8826, 121, 92
2, 8826, 0, 1589
0, 8852, 1062, 0
4, 8852, 9, 7
2, 8852, 0, 2657
1, 8857, 120, 96
2, 8877, 24, 663
0, 8883, 1026, 0
4, 8883, 10, 9
1, 8888, 112, 98
2, 8902, 0, 2849
0, 8914, 1050, 0
4, 8914, 13, 9
1, 8919, 114, 102
2, 8927, 9, 1706
0, 8945, 994, 0
4, 8945, 15, 7
1, 8950, 115, 105
2, 8952, 0, 1818
0, 8976, 1010, 0
4, 8976, 15, 0
1, 8981, 113, 107
2, 8981, 6, 2404
0, 9007, 974, 0
4, 9007, 10, 6
2, 9007, 3, 1690
1, 9012, 113, 105
2, 9032, 0, 1783
0, 9038, 972, 0
4, 9038, 5, 5
1, 9043, 111, 110
2, 9057, 1, 2172
0, 9069, 935, 0
4, 9069, 1, 16
1, 9074, 110, 106
2, 9082, 10, 1813
0, 9100, 961, 0
4, 9100, 0, 5
1, 9104, 112, 106
2, 9107, 10, 1860
0, 9130, 953, 0
4, 9130, 0, 6
1, 9135, 112, 108
2, 9136, 0, 2234
0, 9161, 902, 0
4, 9161, 2, 5
2, 9162, 0, 2517
1, 9167, 108, 106
2, 9187, 0, 324
0, 9192, 913, 0
4, 9192, 0, 6
1, 9197, 110, 107
2, 9212, 4, 1479
0, 9223, 865, 0
4, 9223, 0, 8
1, 9228, 109, 109
2, 9237, 0, 2296
1, 9257, 108, 107
0, 9259, 842, 0
4, 9259, 0, 6
2, 9262, 0, 1990
1, 9287, 103, 111
0, 9290, 820, 0
4, 9290, 0, 14
2, 9290, 0, 2592
1, 9318, 104, 106
0, 9321, 790, 0
4, 9321, 0, 4
2, 9321, 11, 2153
1, 9349, 104, 107
0, 9351, 767, 0
4, 9351, 0, 4
2, 9352, 0, 2079
1, 9380, 105, 106
0, 9382, 751, 0
4, 9382, 0, 3
2, 9382, 0, 2299
1, 9410, 104, 108
0, 9413, 709, 0
4, 9413, 0, 5
2, 9413, 0, 1873
1, 9441, 106, 104
0, 9444, 669, 0
4, 9444, 0, 0
2, 9444, 0, 2010
1, 9472, 109, 105
0, 9474, 654, 0
4, 9474, 0, 3
2, 9475, 4, 1383
1, 9503, 108, 108
0, 9505, 635, 0
4, 9505, 0, 3
